Sat Nov 26 16:56:23 2022    output.dat

         1997785 function calls (1949844 primitive calls) in 4.086 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
7860/1572    0.028    0.000    0.056    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/numpy/core/arrayprint.py:789(recurser)
     7531    0.010    0.000    0.010    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/numpy/core/_internal.py:918(npy_ctypes_check)
     6897    0.115    0.000    0.437    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/functions.py:233(mkColor)
     6370    0.035    0.000    0.035    0.000 {built-in method property}
     6288    0.002    0.000    0.002    0.000 {method 'splitlines' of 'str' objects}
     6288    0.008    0.000    0.010    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/numpy/core/arrayprint.py:739(_extendLine)
     6288    0.007    0.000    0.020    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/numpy/core/arrayprint.py:753(_extendLine_pretty)
     6288    0.005    0.000    0.005    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/numpy/core/arrayprint.py:1231(__call__)
     6241    0.088    0.000    0.271    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/functions.py:352(mkPen)
     6190    0.003    0.000    0.004    0.000 {built-in method hide}
     6154    0.034    0.000    0.034    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/graphicsItems/ViewBox/ViewBox.py:455(viewRect)
     6095    0.099    0.000    1.393    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/graphicsItems/PlotDataItem.py:792(updateItems)
     6095    0.105    0.000    0.670    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/graphicsItems/PlotDataItem.py:866(getDisplayDataset)
     6022    0.019    0.000    0.612    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/graphicsItems/PlotCurveItem.py:313(setData)
     6022    0.136    0.000    0.593    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/graphicsItems/PlotCurveItem.py:366(updateData)
     6003    0.027    0.000    0.303    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/graphicsItems/PlotCurveItem.py:285(setPen)
     6003    0.007    0.000    0.010    0.000 {built-in method show}
     5959    0.060    0.000    0.060    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/functions.py:327(<listcomp>)
     5959    0.044    0.000    0.063    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/numpy/core/numerictypes.py:356(issubdtype)
     5848    0.163    0.000    1.783    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/graphicsItems/PlotDataItem.py:637(setData)
     5829    0.135    0.000    0.445    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/graphicsItems/PlotDataItem.py:43(_updateDataRect)
     5829    0.010    0.000    0.456    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/graphicsItems/PlotDataItem.py:75(dataRect)
     5345    0.004    0.000    0.004    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/enum.py:22(_is_dunder)
     5341    0.003    0.000    0.004    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/enum.py:33(_is_sunder)
     5341    0.005    0.000    0.007    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/enum.py:44(_is_private)
     5341    0.018    0.000    0.039    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/enum.py:89(__setitem__)
     5303    0.002    0.000    0.002    0.000 {built-in method builtins.max}
     4895    0.002    0.000    0.013    0.000 {built-in method builtins.setattr}
     4883    0.010    0.000    0.010    0.000 {built-in method __new__ of type object at 0x7494a0}
     4588    0.005    0.000    0.005    0.000 {built-in method setCosmetic}
     4450    0.002    0.000    0.003    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/graphicsItems/ScatterPlotItem.py:218(__len__)
     4425    0.003    0.000    0.004    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/enum.py:12(_is_descriptor)
     4411    0.001    0.000    0.001    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/graphicsItems/ScatterPlotItem.py:227(maxWidth)
     4411    0.147    0.000    0.581    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/graphicsItems/ScatterPlotItem.py:805(updateSpots)
     4411    0.004    0.000    0.011    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/graphicsItems/ScatterPlotItem.py:830(_maybeRebuildAtlas)
     4411    0.009    0.000    0.010    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/graphicsItems/ScatterPlotItem.py:863(_updateMaxSpotSizes)
     4411    0.002    0.000    0.002    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/numpy/core/fromnumeric.py:2302(_any_dispatcher)
     4411    0.009    0.000    0.054    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/numpy/core/fromnumeric.py:2307(any)
     4411    0.008    0.000    0.079    0.000 <__array_function__ internals>:177(any)
     4410    0.015    0.000    0.889    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/graphicsItems/ScatterPlotItem.py:446(setData)
     4410    0.144    0.000    0.848    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/graphicsItems/ScatterPlotItem.py:501(addPoints)
     4410    0.012    0.000    0.026    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/graphicsItems/ScatterPlotItem.py:939(clear)
     4379    0.008    0.000    0.008    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/graphicsItems/ScatterPlotItem.py:211(<dictcomp>)
     4379    0.020    0.000    0.140    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/graphicsItems/ScatterPlotItem.py:205(__getitem__)
     4379    0.009    0.000    0.015    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/graphicsItems/ScatterPlotItem.py:265(<listcomp>)
     4379    0.006    0.000    0.021    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/graphicsItems/ScatterPlotItem.py:257(_keys)
     4325    0.001    0.000    0.001    0.000 {built-in method m11}
     4325    0.001    0.000    0.001    0.000 {built-in method m12}
     4325    0.001    0.000    0.001    0.000 {built-in method m21}
     4325    0.001    0.000    0.001    0.000 {built-in method m22}
     4278    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
     4149    0.001    0.000    0.001    0.000 {built-in method _warnings._filters_mutated}
     4029    0.017    0.000    0.029    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/Point.py:17(__init__)
     4006    0.004    0.000    0.008    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/Point.py:100(length)
     4006    0.002    0.000    0.002    0.000 {built-in method math.hypot}
     3477    0.001    0.000    0.001    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/enum.py:801(value)
     3477    0.003    0.000    0.004    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/types.py:176(__get__)
     3248    0.002    0.000    0.009    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/numpy/core/_methods.py:54(_any)
     3248    0.005    0.000    0.014    0.000 {method 'any' of 'numpy.generic' objects}
     3014    0.001    0.000    0.001    0.000 {built-in method isVisible}
     2852    0.005    0.000    0.021    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/graphicsItems/ScatterPlotItem.py:948(dataBounds)
     2563    0.003    0.000    0.003    0.000 {method 'reshape' of 'numpy.ndarray' objects}
     2518    0.004    0.000    0.004    0.000 {built-in method numpy.zeros}
     2436    0.004    0.000    0.004    0.000 {method 'match' of 're.Pattern' objects}
     2436    0.001    0.000    0.001    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/numpy/lib/index_tricks.py:775(_fill_diagonal_dispatcher)
     2436    0.014    0.000    0.014    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/numpy/lib/index_tricks.py:779(fill_diagonal)
     2436    0.003    0.000    0.021    0.000 <__array_function__ internals>:177(fill_diagonal)
     2436    0.004    0.000    0.015    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/re.py:187(match)
     2436    0.003    0.000    0.007    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/re.py:288(_compile)
     2320    0.001    0.000    0.001    0.000 {built-in method numpy.asarray}
     2210    0.003    0.000    0.007    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/graphicsItems/GraphicsItem.py:71(getViewWidget)
     2149    0.002    0.000    0.003    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/Qt/__init__.py:345(isQObjectAlive)
     2149    0.001    0.000    0.001    0.000 {isdeleted}
     2128    0.001    0.000    0.001    0.000 {built-in method math.isinf}
     2109    0.001    0.000    0.001    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/graphicsItems/PlotCurveItem.py:126(getData)
     2109    0.013    0.000    0.103    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/graphicsItems/PlotCurveItem.py:210(boundingRect)
     2007    0.001    0.000    0.001    0.000 {built-in method determinant}
     2005    0.006    0.000    0.020    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/graphicsItems/GraphicsItem.py:126(deviceTransform)
     2005    0.022    0.000    0.078    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/graphicsItems/GraphicsItem.py:202(pixelVectors)
     2003    0.002    0.000    0.002    0.000 {built-in method setMatrix}
     2003    0.003    0.000    0.003    0.000 {built-in method deviceTransform}
     2003    0.003    0.000    0.003    0.000 {built-in method viewportTransform}
     1893    0.003    0.000    0.169    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/enum.py:359(__call__)
     1852    0.001    0.000    0.001    0.000 {method 'insert' of 'list' objects}
     1822    0.005    0.000    0.024    0.000 /home/lucla/Programming/PyGJK/pygjk/algo.py:147(furthest_point)
     1822    0.002    0.000    0.006    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/numpy/core/fromnumeric.py:51(_wrapfunc)
     1822    0.001    0.000    0.001    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/numpy/core/fromnumeric.py:1123(_argmax_dispatcher)
     1822    0.003    0.000    0.009    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/numpy/core/fromnumeric.py:1127(argmax)
     1822    0.002    0.000    0.014    0.000 <__array_function__ internals>:177(argmax)
     1822    0.003    0.000    0.003    0.000 {method 'argmax' of 'numpy.ndarray' objects}
     1661    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
     1624    0.000    0.000    0.000    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/numpy/lib/nanfunctions.py:231(_nanmin_dispatcher)
     1624    0.009    0.000    0.025    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/numpy/lib/nanfunctions.py:236(nanmin)
     1624    0.000    0.000    0.000    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/numpy/lib/nanfunctions.py:364(_nanmax_dispatcher)
     1624    0.007    0.000    0.017    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/numpy/lib/nanfunctions.py:369(nanmax)
     1624    0.002    0.000    0.030    0.000 <__array_function__ internals>:177(nanmin)
     1624    0.002    0.000    0.021    0.000 <__array_function__ internals>:177(nanmax)
     1603    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
     1596    0.001    0.000    0.001    0.000 {built-in method isCosmetic}
     1573    0.001    0.000    0.001    0.000 {method 'copy' of 'dict' objects}
     1572    0.001    0.000    0.001    0.000 {built-in method builtins.id}
     1572    0.004    0.000    0.004    0.000 {built-in method builtins.locals}
     1572    0.001    0.000    0.001    0.000 {built-in method _thread.get_ident}
     1572    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
     1572    0.002    0.000    0.002    0.000 {method 'format' of 'str' objects}
     1572    0.001    0.000    0.001    0.000 {method 'discard' of 'set' objects}
     1572    0.002    0.000    0.002    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/numpy/core/arrayprint.py:72(<dictcomp>)
     1572    0.007    0.000    0.013    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/numpy/core/arrayprint.py:64(_make_options_dict)
     1572    0.002    0.000    0.061    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/numpy/core/arrayprint.py:410(<lambda>)
     1572    0.005    0.000    0.005    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/numpy/core/arrayprint.py:403(_get_formatdict)
     1572    0.009    0.000    0.076    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/numpy/core/arrayprint.py:452(_get_format_function)
